"videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Se28XHI2_xE","Thank you; so very well presented!","Thank you; so very well presented!","james sandlin","https://yt3.ggpht.com/ytc/AL5GRJV_CPl7ENt8jUPE91ZMAAJP0D6nfoaXpZYrFz81w88=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCmZkNq-BPSKKrEIs1DOIi4g","UCmZkNq-BPSKKrEIs1DOIi4g","TRUE","none","0","2023-02-24T21:08:24Z","2023-02-24T21:08:24Z","Ugz98W0D9UV94maUTpd4AaABAg",NA,NA
"Se28XHI2_xE","I am clustered. thank you","I am clustered. thank you","Adem Hilmi BOZKURT","https://yt3.ggpht.com/ytc/AL5GRJXt0GLTthBf1T3K1xvbVcAPP_6fdDEVBTbNHGfIlQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCyAaZuqnPQA74vrHqE-XBXg","UCyAaZuqnPQA74vrHqE-XBXg","TRUE","none","0","2022-11-18T13:00:19Z","2022-11-18T13:00:19Z","UgxcPDlPk3bcqm_cW0d4AaABAg",NA,NA
"Se28XHI2_xE","Thanks","Thanks","Muhammed Nishad Kandath Saitharakath","https://yt3.ggpht.com/ytc/AL5GRJXHWZ41Yr3eo2pGSI4XGc17jihGv_-h8jE92KV17Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCKN1clPwvrOcYCAe6RSeHUQ","UCKN1clPwvrOcYCAe6RSeHUQ","TRUE","none","0","2022-11-12T17:41:49Z","2022-11-12T17:41:49Z","UgwaT1wquFi1KMXCBGB4AaABAg",NA,NA
"Se28XHI2_xE","ty","ty","MicroStick69","https://yt3.ggpht.com/ytc/AL5GRJU7dPCa9AGUULnjw0QXrQUCzjf480WsOofgULoL9g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC9SFjGg0NUPhZ_POIo-ZzWA","UC9SFjGg0NUPhZ_POIo-ZzWA","TRUE","none","0","2022-11-05T20:44:03Z","2022-11-05T20:44:03Z","UgzVBd-2rFMgTCcI5Xl4AaABAg",NA,NA
"Se28XHI2_xE","Great job!","Great job!","Elham Ullah Babur","https://yt3.ggpht.com/ytc/AL5GRJVkiVpPlODOH3-4PI2I78Tnw06S9en0V9dqYbjmlg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCdza0AIYm_TRYv3AxcTafJg","UCdza0AIYm_TRYv3AxcTafJg","TRUE","none","0","2022-11-03T18:25:00Z","2022-11-03T18:25:00Z","UgxCgB50-S6tP_TYaJ94AaABAg",NA,NA
"Se28XHI2_xE","Amazing explanation! Thanks!","Amazing explanation! Thanks!","Luiz Felipe Verçosa","https://yt3.ggpht.com/ytc/AL5GRJXDnpWrXTu7ceLygDWyZ2_YlfEX3yEBwbQRFHgI_GM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCPPIJYDdrNxY7Bsh4c96qDA","UCPPIJYDdrNxY7Bsh4c96qDA","TRUE","none","0","2022-09-19T14:33:30Z","2022-09-19T14:33:30Z","UgxMbT8FKgIVTCwKElN4AaABAg",NA,NA
"Se28XHI2_xE","tqsm <a href=""about:invalid#zCSafez""></a>","tqsm ","SURENDRAKUMAR R","https://yt3.ggpht.com/t1TTJJNC3yBO_4lfIPwQ3sBAKPlp-aI6D6ll2mSI6tWkTsmhtH3XNxKDv8_9x7TdyCzg7hcO3qk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC0NW6so0SWDroqzlVoIh13w","UC0NW6so0SWDroqzlVoIh13w","TRUE","none","0","2022-05-31T16:08:14Z","2022-05-31T16:08:14Z","UgyabbwFPIojz1PWjY54AaABAg",NA,NA
"Se28XHI2_xE","this is interesting.  What happened to the other hierarchical methods that centroid belongs to?","this is interesting.  What happened to the other hierarchical methods that centroid belongs to?","pensive nincompoop","https://yt3.ggpht.com/ytc/AL5GRJUnnES1yBcJEx_KItRv66npTYNouQgJxWyMxYpIAA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCtmQAy3q-r-pJnJKTQsqUCA","UCtmQAy3q-r-pJnJKTQsqUCA","TRUE","none","0","2022-05-24T18:03:04Z","2022-05-24T18:03:04Z","UgyxEg6jLEucxCXBMeZ4AaABAg",NA,NA
"Se28XHI2_xE","Thanks for the great review!","Thanks for the great review!","Glenn Zarmanov","https://yt3.ggpht.com/ytc/AL5GRJVGanfXUPy8YmY7ymmbeVweaplvCSfSS27HtOMwdQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCr5pD_25O46ae55ZrWhhMQw","UCr5pD_25O46ae55ZrWhhMQw","TRUE","none","0","2022-04-20T16:16:29Z","2022-04-20T16:16:29Z","UgwwmCXW-ZRGO6XenGV4AaABAg",NA,NA
"Se28XHI2_xE","this was really good. thank you","this was really good. thank you","Chris Hargis","https://yt3.ggpht.com/ytc/AL5GRJWsZIhc-4Xaa8pIsTt9OFOE9lLYLk18nW0UiDEGgw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC2zwJVP8vhuiTYHpUbezytA","UC2zwJVP8vhuiTYHpUbezytA","TRUE","none","0","2022-04-11T21:18:21Z","2022-04-11T21:18:21Z","Ugx0QoquLPQhMqehqzV4AaABAg",NA,NA
