"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @EU_Eurostat: Euro area #GDP +0.1% in Q4 2022, +1.9% compared with Q4 2021: preliminary flash estimate from #Eurostat https://t.co/U8NTP…",FALSE,0,NA,2023-02-01 08:26:51,FALSE,NA,"1620700189827932161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NatioScourge",39,TRUE,FALSE,NA,NA
"2","Income tax rebate limit increased from 5 to 7 lakh in the #Budget2023 (i.e. if you earn upto 7 lakh per annum, your… https://t.co/DTmIYUDY9Z",FALSE,0,NA,2023-02-01 08:26:14,TRUE,NA,"1620700034852605952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","priyanshi_6905",0,FALSE,FALSE,NA,NA
"3","RT @CNBCTV18News: #Budget2023 Headlines: #Budget estimates fiscal deficit of 5.9% of #GDP in FY24; reiterate commitment to bring fiscal def…",FALSE,0,NA,2023-02-01 08:24:22,FALSE,NA,"1620699566411751424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","konerctfoarnab",1,TRUE,FALSE,NA,NA
"4","RT @PIB_India: Industrial Sector gross value added (GVA) rose by 3.7 per cent in first half of FY23

Private final consumption expenditure…",FALSE,0,NA,2023-02-01 08:24:13,FALSE,NA,"1620699530986676225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amina794063701",23,TRUE,FALSE,NA,NA
"5","#IMF downgrades #Pakistan’s #GDP growth rate to 2%.

#Beggars #Bhikhari #Terroristan
#PakistanIsABananaState 🍌… https://t.co/Mq4eSsYvvH",FALSE,0,NA,2023-02-01 08:24:04,TRUE,NA,"1620699492206141440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dramitmanohar",0,FALSE,FALSE,NA,NA
"6","Strong news on the #EconomicForecast front from Davy for 2023 - great news and should give some market confidence t… https://t.co/T98l7G6HQe",FALSE,1,NA,2023-02-01 08:23:15,TRUE,NA,"1620699287666544652",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Beamitch",0,FALSE,FALSE,NA,NA
"7","Xiamen in East China's Fujian province, achieved a regional #GDP of $115.56 billion in 2022, up 4.4%, according to… https://t.co/CaeuVLw3s6",FALSE,0,NA,2023-02-01 08:22:47,TRUE,NA,"1620699167923535872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XM_FTZ",0,FALSE,FALSE,NA,NA
"8","RT @PKottapilly: ഇനിയൊരു 14 കോടി കൂടെ നേടിയാൽ. ഷാരുഊക്കാന്റെ പത്താൻ സിനിമയുടെ കളക്ഷൻ പാകിസ്ഥാൻ #GDP യെ മറികടക്കും. വെറും 2 കോടി നേടിയാൽ AVA…",FALSE,0,NA,2023-02-01 08:21:55,FALSE,NA,"1620698948653678593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vikkuthespidey",2,TRUE,FALSE,NA,NA
"9","#UnionBudget2023: कैपिटल एक्सपेंडिचर का टारगेट बढ़ाकर 10 लाख करोड़ रुपये किया जा रहा है। यह जीडीपी का 3 फीसदी से… https://t.co/D96a0iW3nH",FALSE,0,NA,2023-02-01 08:19:20,TRUE,NA,"1620698300986060804",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MoneycontrolH",0,FALSE,FALSE,NA,NA
"10","China’s economic growth led the world with an avg. annual growth of 4.5% from 2020 to 2022, more than double the gl… https://t.co/Vt1oRF0Kr3",FALSE,9,NA,2023-02-01 08:18:55,TRUE,NA,"1620698193121124352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","China2ASEAN",0,FALSE,FALSE,NA,NA
"11","#Budget2023 Headlines: #Budget estimates fiscal deficit of 5.9% of #GDP in FY24; reiterate commitment to bring fisc… https://t.co/Cfqsj3lJ9A",FALSE,4,NA,2023-02-01 08:18:46,TRUE,NA,"1620698157415022594",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","CNBCTV18News",1,FALSE,FALSE,NA,NA
