"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AoodSumrit: กรอบทองคำ #GOLD 1953-1915 ทองคำมีการปรับตัวร่วงลงเมื่อวานจากการประกาศ #PMI ออกมาดีขึ้น และกลับมาปรับตัวดีดขึ้นหลังจากประกาศ…",FALSE,0,NA,2023-01-25 08:09:37,FALSE,NA,"1618159140228194305",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","suckcessma",4,TRUE,FALSE,NA,NA
"2","RT @MDManappuram: Based on the recently announced corporate tax assessment data, it is evident that despite the recessionary headwinds glob…",FALSE,0,NA,2023-01-25 08:04:17,FALSE,NA,"1618157799103692801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SIPPUPANDIT2",24,TRUE,FALSE,NA,NA
"3","230125 掛け声ばかりの少子化対策に厳しい現実 22年の出生数は80万人下回る見込み https://t.co/NDEvPDa1MV @YouTubeより
#少子化 
#NHK 
#NHKニュース 
#出生数 
#出生数減少… https://t.co/znpeTXEmWR",FALSE,0,NA,2023-01-25 08:01:55,TRUE,NA,"1618157200324857857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","natu46love",0,FALSE,FALSE,NA,NA
"4","Despite many countries reducing inflation slightly, New Zealand remains steady with no change in inflation. This is… https://t.co/NZYMoxHQ4c",FALSE,0,NA,2023-01-25 08:00:22,TRUE,NA,"1618156813563617281",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","fxtradingcom_en",0,FALSE,FALSE,NA,NA
"5","RT @moefkorea: #기획재정부에서_알려드립니다
.
'22년도 국가채무비율은
아직 확정되지 않았습니다.
.
📍 ｢국가채무비율 50%선 뚫렸다...정부 전망보다 2년 앞당겨져｣ 기사관련
📍 2023.1.24.(화) 한국경제

 #기획재정부 #기…",FALSE,0,NA,2023-01-25 08:00:16,FALSE,NA,"1618156786674200576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roboticsk21",1,TRUE,FALSE,NA,NA
"6","RT @UxbEconomist07: Episode 251 of “Liz Truss #TaxCuts did not cause Britain’s markets to crash.” 

Analysis showed that a so called BlackH…",FALSE,0,NA,2023-01-25 07:57:20,FALSE,NA,"1618156048581558273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ferrino100",7,TRUE,FALSE,NA,NA
"7","明日の日本時間
🕥22時30分
【米国】🇺🇲10-12月期四半期実質国内総生産（速報値）
🕛24時
【米国】🇺🇲12月新築住宅販売件数
が発表されます。

▼今週の経済カレンダーまとめはこちら… https://t.co/a6ScBdO7VY",FALSE,6,NA,2023-01-25 07:55:30,TRUE,NA,"1618155585991475200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","takadacon",0,FALSE,FALSE,NA,NA
"8","RT @TRADE_TALK_: #Btc is still struggling to break above the weekly supply, as the #DXY is not breaking down from monthly support. We have…",FALSE,0,NA,2023-01-25 07:51:56,FALSE,NA,"1618154688859504640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SorinIoan1",3,TRUE,FALSE,NA,NA
"9","RT @GdPPresse: @RND_de #GdP E-Scooter-Nutzende tragen „Wesenszüge der Anarchie in den Straßenverkehr“, sagt GdP-#Vize Michael #Mertens. „Am…",FALSE,0,NA,2023-01-25 07:47:54,FALSE,NA,"1618153674135719938",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","edelsteinchen1",2,TRUE,FALSE,NA,NA
"10","RT @MDManappuram: Based on the recently announced corporate tax assessment data, it is evident that despite the recessionary headwinds glob…",FALSE,0,NA,2023-01-25 07:46:59,FALSE,NA,"1618153445562945538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pangieswararao",24,TRUE,FALSE,NA,NA
